2, FLAT
3, UP
1, FLAT
2, UP
1, SUMMIT
4, DW
2, FLAT
1, UP
1, SUMMIT
2, DW
3, FLAT
4, UP
1, SUMMIT
5, UP
9, DW
6, FLAT
3, UP
1, FLAT
1, SUMMIT
2, DW
1, FLAT
2, DW
1, UP
3, FLAT
2, UP
2, DW
2, UP
1, SUMMIT
1, DW
4, FLAT
4, UP
1, DW
1, UP
5, DW
4, FLAT
1, DW
6, FLAT
6, UP
1, SUMMIT
6, DW
5, FLAT
1, UP
2, FLAT
1, DW
5, FLAT
1, SUMMIT
8, FLAT
1, UP
1, FLAT
1, UP
2, DW
10, FLAT
3, UP
1, FLAT
2, UP
1, SUMMIT
4, DW
2, FLAT
1, UP
1, SUMMIT
2, DW
3, FLAT
6, UP
6, DW
2, FLAT
4, UP
2, FLAT
4, DW
2, FLAT
3, UP
1, SUMMIT
4, UP
7, DW
8, FLAT
3, UP
1, FLAT
1, SUMMIT
2, DW
1, FLAT
2, DW
1, UP
2, FLAT
2, UP
2, DW
2, UP
1, SUMMIT
1, DW
2, FLAT
4, UP
1, DW
1, UP
5, DW
5, FLAT
1, DW
5, FLAT
3, UP
3, FLAT
3, DW
3, FLAT
2, UP
1, SUMMIT
4, UP
6, DW
6, FLAT
2, UP
2, DW
2, UP
1, SUMMIT
1, DW
4, FLAT
4, UP
1, DW
1, UP
5, DW
6, FLAT
3, UP
1, FLAT
2, UP
1, SUMMIT
4, DW
2, FLAT
1, UP
1, SUMMIT
2, DW
3, FLAT
1, DW
4, FLAT
3, UP
2, FLAT
500, FLAT
