10,UP
1, SUMMIT
12, DW
2, FLAT
1, DW
3, FLAT
2, DW
3, FLAT
6, UP
2, FLAT
1, SUMMIT
2, DW
1, FLAT
1, SUMMIT
3, DW
2, FLAT
2, DW
2, FLAT
3, UP
1, SUMMIT
2, FLAT
3, DW
1, SUMMIT
1, FLAT
4, UP
2, DW
1, SUMMIT
2, DW
1, SUMMIT
2, FLAT
1, UP
1, SUMMIT
5, UP
1, DW
1, UP
2, FLAT
3, DW
1, UP
2, DW
1, UP
1, DW
2, FLAT
1, UP
1, DW
2, FLAT
3, UP
2, FLAT
4, DW
11, FLAT
1, DW
6, FLAT
3, UP
1, SUMMIT
2, FLAT
3, DW
1, SUMMIT
1, FLAT
1, UP
6, FLAT
2, UP
5, FLAT
2, UP
7, FLAT
2, DW
2, FLAT
1, DW
6, FLAT
1, DW
5, FLAT
1, DW
6, FLAT
5, UP
2, FLAT
4, DW
8, FLAT
1, DW
5, FLAT
1, UP
3, FLAT
2, UP
2, FLAT
2, UP
5, FLAT
2, DW
1, FLAT
1, DW
4, FLAT
1, DW
3, FLAT
1, DW
4, FLAT
3, UP
1, SUMMIT
2, FLAT
3, DW
1, SUMMIT
3, FLAT
2, UP
3, DW
8, FLAT
1, SUMMIT
10, FLAT
1, SUMMIT
10, FLAT
5, UP
1, SUMMIT
5, DW
3, FLAT
2, UP
1, SUMMIT
2, DW
5, FLAT
1, SUMMIT
2, FLAT
3, UP
1, SUMMIT
2, FLAT
3, DW
1, SUMMIT
1, FLAT
2, UP
2, FLAT
1, SUMMIT
2, FLAT
2, DW
9, FLAT
500, FLAT
